Warehouse_block,Mode_of_Shipment,Cost_of_the_Product,Product_importance,Discount_offered,Reached.on.Time_Y.N,Customer_calls_class,Prior_purchase_category,Weight_category
B,Ship,194,medium,3,late,seldom calls,0-3 purchase,light
C,Ship,183,low,19,late,seldom calls,0-3 purchase,medium
F,Ship,140,low,22,late,occasionally calls,0-3 purchase,light
D,Ship,244,medium,55,late,occasionally calls,0-3 purchase,light
F,Ship,189,low,34,late,seldom calls,> 3 purchase,medium
A,Ship,157,medium,53,late,seldom calls,0-3 purchase,light
B,Ship,275,medium,23,late,occasionally calls,> 3 purchase,light
C,Ship,133,low,53,late,occasionally calls,0-3 purchase,light
F,Ship,149,medium,54,late,occasionally calls,0-3 purchase,light
D,Ship,254,high,17,late,seldom calls,0-3 purchase,medium
F,Ship,145,low,15,late,seldom calls,> 3 purchase,light
A,Ship,179,low,52,late,seldom calls,> 3 purchase,light
B,Ship,168,low,26,late,frequently calls,0-3 purchase,light
C,Ship,202,medium,18,late,occasionally calls,0-3 purchase,medium
F,Ship,220,low,43,late,seldom calls,> 3 purchase,light
D,Ship,244,low,1,late,seldom calls,> 3 purchase,light
F,Ship,186,medium,40,late,occasionally calls,> 3 purchase,medium
A,Ship,263,medium,24,late,frequently calls,> 3 purchase,medium
B,Ship,294,low,15,late,seldom calls,> 3 purchase,light
C,Ship,226,medium,2,late,seldom calls,0-3 purchase,light
F,Ship,173,medium,2,late,occasionally calls,> 3 purchase,light
D,Ship,194,medium,10,late,seldom calls,0-3 purchase,light
F,Ship,183,low,2,late,seldom calls,0-3 purchase,medium
A,Ship,140,low,61,late,occasionally calls,0-3 purchase,light
B,Ship,244,medium,8,late,occasionally calls,0-3 purchase,medium
C,Ship,189,low,9,late,seldom calls,> 3 purchase,medium
F,Ship,157,medium,39,late,seldom calls,0-3 purchase,light
D,Ship,275,medium,10,late,occasionally calls,> 3 purchase,light
F,Ship,133,low,59,late,occasionally calls,0-3 purchase,light
A,Ship,149,medium,26,late,occasionally calls,0-3 purchase,light
B,Ship,254,high,41,late,seldom calls,0-3 purchase,medium
C,Ship,145,low,24,late,seldom calls,> 3 purchase,light
F,Ship,179,low,56,late,seldom calls,> 3 purchase,light
D,Ship,168,low,13,late,frequently calls,0-3 purchase,light
F,Ship,202,medium,46,late,occasionally calls,0-3 purchase,medium
A,Ship,220,low,25,late,seldom calls,> 3 purchase,light
B,Ship,244,low,50,late,seldom calls,> 3 purchase,medium
C,Ship,186,medium,30,late,occasionally calls,> 3 purchase,light
F,Ship,263,medium,9,late,frequently calls,> 3 purchase,light
D,Ship,294,low,25,late,seldom calls,> 3 purchase,light
F,Ship,139,low,56,late,occasionally calls,0-3 purchase,light
A,Ship,192,low,46,late,frequently calls,0-3 purchase,light
B,Ship,235,low,5,late,seldom calls,0-3 purchase,medium
C,Ship,176,low,15,late,seldom calls,0-3 purchase,light
F,Ship,224,low,34,late,frequently calls,0-3 purchase,light
D,Ship,128,medium,51,late,seldom calls,0-3 purchase,light
F,Ship,226,low,47,late,frequently calls,> 3 purchase,light
A,Ship,160,medium,16,late,frequently calls,> 3 purchase,light
B,Ship,197,low,45,late,seldom calls,> 3 purchase,light
C,Ship,216,low,12,late,occasionally calls,0-3 purchase,light
F,Ship,199,low,9,late,occasionally calls,0-3 purchase,medium
D,Ship,271,low,27,late,frequently calls,0-3 purchase,medium
F,Ship,201,low,47,late,frequently calls,0-3 purchase,light
A,Ship,212,low,33,late,seldom calls,0-3 purchase,light
B,Ship,177,low,10,late,seldom calls,0-3 purchase,light
C,Ship,191,medium,43,late,seldom calls,> 3 purchase,medium
F,Ship,174,low,30,late,seldom calls,0-3 purchase,light
D,Ship,162,low,14,late,frequently calls,0-3 purchase,light
F,Ship,219,low,39,late,seldom calls,0-3 purchase,light
A,Ship,155,medium,35,late,occasionally calls,0-3 purchase,light
B,Ship,230,medium,3,late,frequently calls,0-3 purchase,medium
C,Ship,192,medium,36,late,occasionally calls,0-3 purchase,light
F,Ship,235,low,14,late,frequently calls,0-3 purchase,medium
D,Ship,200,low,46,late,seldom calls,0-3 purchase,medium
F,Ship,172,medium,65,late,frequently calls,0-3 purchase,light
A,Ship,160,low,6,late,frequently calls,> 3 purchase,light
B,Ship,250,low,12,late,frequently calls,> 3 purchase,light
C,Ship,174,low,9,late,occasionally calls,0-3 purchase,light
F,Ship,204,high,54,late,seldom calls,0-3 purchase,medium
D,Ship,274,medium,51,late,seldom calls,0-3 purchase,medium
F,Ship,262,medium,62,late,frequently calls,0-3 purchase,medium
A,Ship,138,medium,23,late,occasionally calls,0-3 purchase,light
B,Ship,215,medium,2,late,seldom calls,0-3 purchase,medium
C,Ship,145,low,34,late,seldom calls,0-3 purchase,light
F,Road,149,medium,56,late,occasionally calls,0-3 purchase,light
D,Road,212,medium,38,late,frequently calls,0-3 purchase,light
F,Road,155,medium,47,late,seldom calls,0-3 purchase,light
A,Road,154,low,40,late,frequently calls,0-3 purchase,light
B,Road,249,medium,51,late,seldom calls,0-3 purchase,light
C,Road,206,low,2,late,frequently calls,0-3 purchase,medium
F,Road,235,medium,22,late,occasionally calls,0-3 purchase,light
D,Road,261,medium,8,late,frequently calls,0-3 purchase,medium
F,Road,243,high,22,late,frequently calls,> 3 purchase,medium
A,Road,237,high,26,late,seldom calls,0-3 purchase,medium
B,Road,179,low,19,late,seldom calls,0-3 purchase,light
C,Road,192,low,43,late,occasionally calls,0-3 purchase,medium
F,Road,141,medium,39,late,seldom calls,0-3 purchase,light
D,Road,245,low,61,late,seldom calls,0-3 purchase,light
F,Road,177,medium,32,late,occasionally calls,> 3 purchase,light
A,Road,154,high,17,late,seldom calls,> 3 purchase,light
B,Road,228,medium,12,late,occasionally calls,0-3 purchase,medium
C,Road,207,high,24,late,seldom calls,> 3 purchase,medium
F,Road,266,medium,33,late,occasionally calls,> 3 purchase,light
D,Road,172,medium,42,late,seldom calls,0-3 purchase,light
F,Road,142,low,35,late,occasionally calls,0-3 purchase,light
A,Road,218,low,40,late,occasionally calls,0-3 purchase,medium
B,Flight,231,low,46,late,seldom calls,0-3 purchase,medium
C,Flight,180,low,47,late,occasionally calls,0-3 purchase,light
F,Flight,168,low,46,late,seldom calls,0-3 purchase,light
D,Flight,147,high,42,late,frequently calls,> 3 purchase,light
F,Flight,245,low,6,late,frequently calls,> 3 purchase,medium
A,Flight,182,medium,47,late,seldom calls,0-3 purchase,medium
B,Flight,176,medium,8,late,seldom calls,0-3 purchase,light
C,Flight,197,medium,51,late,frequently calls,> 3 purchase,medium
F,Flight,233,medium,52,late,seldom calls,0-3 purchase,medium
D,Flight,156,low,8,late,seldom calls,0-3 purchase,light
F,Flight,257,medium,52,late,seldom calls,> 3 purchase,light
A,Flight,250,low,11,late,frequently calls,0-3 purchase,medium
B,Flight,189,low,3,late,frequently calls,> 3 purchase,medium
C,Flight,255,high,7,late,seldom calls,0-3 purchase,medium
F,Flight,198,medium,28,late,seldom calls,0-3 purchase,medium
D,Flight,164,medium,15,late,occasionally calls,0-3 purchase,light
F,Flight,271,medium,32,late,frequently calls,0-3 purchase,medium
A,Flight,185,medium,34,late,seldom calls,0-3 purchase,medium
B,Flight,157,high,17,late,seldom calls,> 3 purchase,light
C,Flight,137,medium,17,late,seldom calls,0-3 purchase,light
F,Flight,229,low,14,late,seldom calls,0-3 purchase,light
D,Flight,234,medium,39,late,seldom calls,0-3 purchase,light
F,Ship,216,low,52,late,occasionally calls,0-3 purchase,medium
A,Ship,163,low,20,late,seldom calls,> 3 purchase,light
B,Ship,268,low,19,late,frequently calls,0-3 purchase,light
C,Ship,205,medium,35,late,seldom calls,> 3 purchase,medium
F,Ship,265,medium,18,late,occasionally calls,0-3 purchase,medium
D,Ship,236,medium,3,late,seldom calls,0-3 purchase,medium
F,Ship,132,low,63,late,occasionally calls,0-3 purchase,light
A,Ship,234,medium,46,late,seldom calls,0-3 purchase,medium
B,Ship,108,low,22,late,occasionally calls,> 3 purchase,light
C,Ship,276,low,54,late,occasionally calls,0-3 purchase,medium
F,Ship,179,low,1,late,occasionally calls,> 3 purchase,light
D,Ship,230,medium,40,late,occasionally calls,0-3 purchase,light
F,Ship,210,medium,43,late,seldom calls,0-3 purchase,light
A,Ship,173,low,15,late,seldom calls,0-3 purchase,light
B,Ship,201,medium,29,late,seldom calls,0-3 purchase,medium
C,Ship,214,low,21,late,seldom calls,0-3 purchase,medium
F,Ship,216,medium,22,late,occasionally calls,0-3 purchase,medium
D,Ship,144,medium,61,late,seldom calls,0-3 purchase,light
F,Ship,182,medium,27,late,frequently calls,0-3 purchase,medium
A,Ship,163,medium,48,late,seldom calls,0-3 purchase,light
B,Ship,234,medium,8,late,seldom calls,0-3 purchase,light
C,Ship,158,high,59,late,seldom calls,0-3 purchase,light
F,Ship,194,medium,4,late,seldom calls,0-3 purchase,medium
D,Ship,201,medium,3,late,seldom calls,> 3 purchase,light
F,Ship,178,medium,59,late,seldom calls,0-3 purchase,light
A,Ship,214,medium,51,late,occasionally calls,> 3 purchase,light
B,Ship,281,medium,55,late,seldom calls,0-3 purchase,medium
C,Ship,260,medium,2,late,seldom calls,0-3 purchase,light
F,Ship,200,medium,46,late,seldom calls,0-3 purchase,medium
D,Ship,209,high,49,late,frequently calls,0-3 purchase,light
F,Ship,185,low,61,late,seldom calls,0-3 purchase,medium
A,Ship,230,low,62,late,occasionally calls,0-3 purchase,light
B,Ship,134,medium,31,late,seldom calls,0-3 purchase,light
C,Ship,270,low,34,late,occasionally calls,0-3 purchase,medium
F,Ship,140,medium,1,late,occasionally calls,0-3 purchase,light
D,Ship,133,medium,32,late,frequently calls,> 3 purchase,light
F,Ship,145,medium,44,late,seldom calls,0-3 purchase,light
A,Ship,206,medium,58,late,occasionally calls,0-3 purchase,light
B,Ship,162,low,52,late,seldom calls,0-3 purchase,light
C,Ship,187,low,58,late,occasionally calls,0-3 purchase,medium
F,Ship,166,low,54,late,occasionally calls,> 3 purchase,light
D,Ship,178,low,48,late,occasionally calls,0-3 purchase,light
F,Ship,167,high,34,late,seldom calls,0-3 purchase,light
A,Ship,224,high,60,late,occasionally calls,0-3 purchase,medium
B,Ship,158,medium,11,late,occasionally calls,0-3 purchase,light
C,Ship,134,medium,43,late,seldom calls,0-3 purchase,light
F,Ship,147,medium,20,late,occasionally calls,0-3 purchase,light
D,Ship,187,low,61,late,occasionally calls,0-3 purchase,light
F,Ship,247,medium,18,late,occasionally calls,0-3 purchase,light
A,Ship,182,high,20,late,frequently calls,> 3 purchase,light
B,Ship,177,medium,33,late,occasionally calls,> 3 purchase,light
C,Ship,143,high,18,late,frequently calls,0-3 purchase,light
F,Ship,245,medium,8,late,frequently calls,0-3 purchase,medium
D,Ship,133,medium,64,late,occasionally calls,> 3 purchase,light
F,Ship,224,low,13,late,seldom calls,0-3 purchase,medium
A,Ship,265,low,50,late,seldom calls,0-3 purchase,medium
B,Ship,138,low,28,late,occasionally calls,0-3 purchase,light
C,Ship,253,low,6,late,seldom calls,0-3 purchase,medium
F,Ship,165,medium,51,late,occasionally calls,0-3 purchase,light
D,Ship,265,low,65,late,occasionally calls,0-3 purchase,medium
F,Ship,238,high,54,late,seldom calls,0-3 purchase,medium
A,Ship,236,low,51,late,frequently calls,0-3 purchase,medium
B,Ship,190,high,38,late,occasionally calls,> 3 purchase,medium
C,Ship,104,medium,23,late,frequently calls,> 3 purchase,light
F,Ship,245,low,19,late,occasionally calls,0-3 purchase,light
D,Ship,155,medium,27,late,seldom calls,0-3 purchase,light
F,Ship,233,low,63,late,seldom calls,0-3 purchase,light
A,Ship,171,low,55,late,occasionally calls,> 3 purchase,light
B,Ship,164,low,56,late,seldom calls,0-3 purchase,light
C,Ship,141,low,6,late,seldom calls,0-3 purchase,light
F,Ship,266,low,61,late,frequently calls,0-3 purchase,light
D,Ship,192,low,56,late,seldom calls,0-3 purchase,medium
F,Ship,229,medium,61,late,seldom calls,> 3 purchase,light
A,Ship,269,medium,38,late,frequently calls,> 3 purchase,medium
B,Ship,247,low,59,late,seldom calls,> 3 purchase,medium
C,Ship,157,low,2,late,occasionally calls,0-3 purchase,light
F,Ship,148,medium,64,late,seldom calls,0-3 purchase,light
D,Ship,240,low,14,late,occasionally calls,0-3 purchase,light
F,Ship,197,medium,58,late,occasionally calls,> 3 purchase,medium
A,Ship,121,low,23,late,frequently calls,> 3 purchase,light
B,Ship,124,high,60,late,occasionally calls,0-3 purchase,light
C,Ship,153,medium,53,late,occasionally calls,0-3 purchase,light
F,Ship,105,high,1,late,frequently calls,> 3 purchase,light
D,Ship,202,medium,2,late,occasionally calls,0-3 purchase,medium
F,Ship,162,low,54,late,frequently calls,0-3 purchase,light
A,Ship,164,medium,13,late,seldom calls,0-3 purchase,light
B,Ship,231,medium,48,late,seldom calls,> 3 purchase,medium
C,Ship,209,medium,12,late,frequently calls,> 3 purchase,medium
F,Ship,157,high,19,late,seldom calls,0-3 purchase,light
D,Ship,249,low,4,late,occasionally calls,0-3 purchase,light
F,Ship,264,low,63,late,seldom calls,0-3 purchase,medium
A,Ship,111,low,61,late,seldom calls,> 3 purchase,light
B,Ship,242,medium,10,late,seldom calls,0-3 purchase,medium
C,Road,169,low,23,late,occasionally calls,0-3 purchase,light
F,Road,138,low,13,late,frequently calls,0-3 purchase,light
D,Road,158,low,9,late,frequently calls,0-3 purchase,light
F,Road,146,low,5,late,frequently calls,> 3 purchase,light
A,Road,218,medium,36,late,occasionally calls,> 3 purchase,medium
B,Road,178,medium,22,late,seldom calls,0-3 purchase,light
C,Road,197,low,34,late,occasionally calls,0-3 purchase,medium
F,Road,243,medium,17,late,seldom calls,0-3 purchase,medium
D,Road,254,high,37,late,frequently calls,> 3 purchase,light
F,Road,237,low,33,late,seldom calls,> 3 purchase,light
A,Road,179,low,62,late,frequently calls,0-3 purchase,light
B,Road,189,medium,38,late,seldom calls,0-3 purchase,light
C,Road,244,medium,1,late,occasionally calls,0-3 purchase,medium
F,Road,266,medium,46,late,seldom calls,0-3 purchase,medium
D,Road,263,high,10,late,frequently calls,0-3 purchase,light
F,Road,247,medium,39,late,seldom calls,0-3 purchase,medium
A,Road,202,low,6,late,occasionally calls,0-3 purchase,light
B,Road,227,medium,1,late,occasionally calls,0-3 purchase,light
C,Road,189,low,15,late,occasionally calls,0-3 purchase,light
F,Road,160,low,31,late,frequently calls,0-3 purchase,light
D,Road,117,medium,56,late,seldom calls,0-3 purchase,light
F,Road,202,high,52,late,seldom calls,0-3 purchase,light
A,Flight,201,medium,54,late,occasionally calls,0-3 purchase,light
B,Flight,273,medium,39,late,seldom calls,0-3 purchase,light
C,Flight,143,medium,58,late,occasionally calls,0-3 purchase,light
F,Flight,137,high,29,late,occasionally calls,> 3 purchase,light
D,Flight,236,high,34,late,frequently calls,0-3 purchase,medium
F,Flight,241,low,17,late,occasionally calls,0-3 purchase,medium
A,Flight,187,low,6,late,occasionally calls,0-3 purchase,medium
B,Flight,273,high,63,late,occasionally calls,0-3 purchase,medium
C,Flight,170,low,15,late,frequently calls,0-3 purchase,light
F,Flight,138,low,37,late,seldom calls,0-3 purchase,light
D,Flight,150,low,60,late,frequently calls,0-3 purchase,light
F,Flight,140,high,42,late,frequently calls,0-3 purchase,light
A,Flight,250,low,17,late,occasionally calls,0-3 purchase,medium
B,Flight,207,medium,19,late,seldom calls,> 3 purchase,light
C,Flight,214,low,36,late,occasionally calls,0-3 purchase,light
F,Flight,179,low,63,late,occasionally calls,0-3 purchase,light
D,Flight,149,medium,20,late,frequently calls,> 3 purchase,light
F,Flight,151,low,16,late,seldom calls,0-3 purchase,light
A,Flight,264,medium,23,late,occasionally calls,0-3 purchase,light
B,Flight,113,high,31,late,frequently calls,0-3 purchase,light
C,Flight,281,medium,36,late,frequently calls,0-3 purchase,light
F,Flight,197,medium,43,late,occasionally calls,> 3 purchase,medium
D,Ship,265,low,35,late,seldom calls,> 3 purchase,medium
F,Ship,259,low,47,late,occasionally calls,0-3 purchase,medium
A,Ship,200,low,18,late,frequently calls,> 3 purchase,medium
B,Ship,111,high,60,late,seldom calls,0-3 purchase,light
C,Ship,223,medium,53,late,seldom calls,0-3 purchase,medium
F,Ship,241,low,5,late,seldom calls,0-3 purchase,light
D,Ship,139,low,25,late,occasionally calls,0-3 purchase,light
F,Ship,192,low,38,late,frequently calls,0-3 purchase,light
A,Ship,117,medium,23,late,seldom calls,0-3 purchase,light
B,Ship,202,high,21,late,seldom calls,0-3 purchase,medium
C,Ship,201,medium,39,late,occasionally calls,0-3 purchase,light
F,Ship,273,medium,16,late,seldom calls,0-3 purchase,light
D,Ship,143,medium,64,late,occasionally calls,0-3 purchase,light
F,Ship,137,high,15,late,occasionally calls,> 3 purchase,light
A,Ship,236,high,47,late,frequently calls,0-3 purchase,medium
B,Ship,241,low,39,late,occasionally calls,0-3 purchase,medium
C,Ship,187,low,44,late,occasionally calls,0-3 purchase,medium
F,Ship,273,high,43,late,occasionally calls,0-3 purchase,medium
D,Ship,170,low,12,late,frequently calls,0-3 purchase,light
F,Ship,138,low,54,late,seldom calls,0-3 purchase,light
A,Ship,150,low,2,late,frequently calls,0-3 purchase,light
B,Ship,140,high,56,late,frequently calls,0-3 purchase,light
C,Ship,250,low,46,late,occasionally calls,0-3 purchase,medium
F,Ship,207,medium,46,late,seldom calls,> 3 purchase,light
D,Ship,214,low,18,late,occasionally calls,0-3 purchase,light
F,Ship,179,low,45,late,occasionally calls,0-3 purchase,light
A,Ship,149,medium,48,late,frequently calls,> 3 purchase,light
B,Ship,151,low,4,late,seldom calls,0-3 purchase,light
C,Ship,264,medium,16,late,occasionally calls,0-3 purchase,light
F,Ship,113,high,35,late,frequently calls,0-3 purchase,light
D,Ship,281,medium,11,late,frequently calls,0-3 purchase,light
F,Ship,197,medium,22,late,occasionally calls,> 3 purchase,light
A,Ship,265,low,2,late,seldom calls,> 3 purchase,medium
B,Ship,259,low,39,late,occasionally calls,0-3 purchase,light
C,Ship,200,low,9,late,frequently calls,> 3 purchase,light
F,Ship,111,high,10,late,seldom calls,0-3 purchase,light
D,Ship,223,medium,6,late,seldom calls,0-3 purchase,light
F,Ship,241,low,22,late,seldom calls,0-3 purchase,medium
A,Ship,139,low,65,late,occasionally calls,0-3 purchase,light
B,Ship,192,low,33,late,frequently calls,0-3 purchase,light
C,Ship,180,medium,59,late,seldom calls,> 3 purchase,light
F,Ship,153,low,35,late,seldom calls,> 3 purchase,light
D,Ship,280,low,48,late,seldom calls,> 3 purchase,light
F,Ship,243,medium,28,late,frequently calls,> 3 purchase,light
A,Ship,214,low,50,late,seldom calls,0-3 purchase,medium
B,Ship,177,low,6,late,occasionally calls,0-3 purchase,light
C,Ship,182,medium,39,late,seldom calls,0-3 purchase,medium
F,Ship,185,medium,17,late,occasionally calls,0-3 purchase,medium
D,Ship,143,medium,23,late,seldom calls,0-3 purchase,light
F,Ship,162,medium,7,late,seldom calls,0-3 purchase,light
